Tick;Step;DateTime;Age;Alive;AmountToSpawn;ConsumptionRate;Fruit;GrowRate;LifePoints;MatureAge;MaxAge;Name;ProductionRate;SpreadRate;State;Wood;X;Y;ID
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;102;0.5;100;1825;9855;PalmTree;0.6;0.0001;Juvenile;488;55;2;ca6b4690-7137-4507-a997-e65f134ad8bd
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;2379;1;100;2920;19710;NutmegTree;1.3;0.0002;Juvenile;7449;104;7;6b90c1db-49ec-4215-9488-a09650218632
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;719;0.5;100;1825;8395;PalmTree;0.6;0.0001;Juvenile;842;39;2;be71b8bb-a134-4cf4-8e84-54326c2f1ee6
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;262;0.5;100;1825;9125;PalmTree;0.6;0.0001;Juvenile;487;45;2;826aa09b-9bdb-474d-83cc-739e2f71b156
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;942;0.5;100;1825;6205;PalmTree;0.6;0.0001;Juvenile;703;52;0;814a4cd0-7b03-4d75-8fa0-1d051f4765b0
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;422;0.5;100;1825;6570;PalmTree;0.6;0.0001;Juvenile;734;43;1;69d3a322-0841-4978-9c4e-3305a1e00107
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;417;0.5;100;1825;10585;PalmTree;0.6;0.0001;Juvenile;537;40;3;4b60681b-b9ed-40bc-876d-8d3d1ab543ec
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4657;0.1;100;3650;126655;BrazilNutTree;1;0.0003;Juvenile;10864;61;3;b65bec41-f27f-4f52-8500-a57aee93f27b
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4302;0.1;100;3650;129940;BrazilNutTree;1;0.0003;Juvenile;15482;11;5;4e6d1f45-b9df-4a1a-a675-4c711ae6ee84
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;4522;1;100;2920;21535;NutmegTree;1.3;0.0002;Juvenile;8013;42;9;a100d54b-ae75-4b0d-aaa2-91aaa89cd847
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;841;0.5;100;1825;6205;PalmTree;0.6;0.0001;Juvenile;266;31;1;822ae456-c16b-4f79-9b84-85bc661321c8
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;2502;0.1;100;3650;101470;BrazilNutTree;1;0.0003;Juvenile;12540;6;6;f8a4e3e3-fa27-4136-a7ea-ca0a602f5a00
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;25;0.5;100;1825;10220;PalmTree;0.6;0.0001;Juvenile;1038;10;1;06b60d48-a3ee-4e41-af47-819809b9ead5
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;352;0.5;100;1825;6570;PalmTree;0.6;0.0001;Juvenile;63;31;2;e3cb6653-6686-4898-a05e-febae8deb493
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3631;1;100;2920;18980;NutmegTree;1.3;0.0002;Juvenile;7635;40;9;cf46a799-c9cd-4021-a5e8-8e5cf5228498
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;607;0.5;100;1825;5475;PalmTree;0.6;0.0001;Juvenile;997;69;2;8dc7c2a8-95dc-4989-9cdc-470a748149c5
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4764;0.1;100;3650;155125;BrazilNutTree;1;0.0003;Juvenile;15314;64;4;62739aef-458d-4975-be49-afe173912769
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;943;0.5;100;1825;7665;PalmTree;0.6;0.0001;Juvenile;116;14;1;fd8ff7b9-de82-4a0d-8ffe-f5bf0428ffa2
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;1160;1;100;2920;17155;NutmegTree;1.3;0.0002;Juvenile;9243;0;8;b3fc1a6a-781e-400d-9c0e-02afb121b5f9
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;3286;0.1;100;3650;180675;BrazilNutTree;1;0.0003;Juvenile;4902;72;3;6d2b474c-67fc-43a3-b610-b2b1dccafccd
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;1421;1;100;2920;15695;NutmegTree;1.3;0.0002;Juvenile;7483;34;9;94671839-9880-4f55-a7ee-ad239b47916d
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;291;0.5;100;1825;10220;PalmTree;0.6;0.0001;Juvenile;335;32;0;23628ba8-1a69-4d59-93c0-844a0d3bb734
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;1069;1;100;2920;11315;NutmegTree;1.3;0.0002;Juvenile;5468;57;8;6a624995-dd1b-4d9f-bd1d-e8d55b193e3c
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;811;0.5;100;1825;9125;PalmTree;0.6;0.0001;Juvenile;741;65;1;40ed64cd-697c-46b8-bbc9-1fc252bf10b2
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;27;0.5;100;1825;8760;PalmTree;0.6;0.0001;Juvenile;163;83;2;fd966fd2-ad80-48c2-aa2b-034bc13dfe08
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;5880;1;100;2920;20440;NutmegTree;1.3;0.0002;Juvenile;3636;6;8;3565f1b4-c12d-49a3-a512-e30e95340941
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;5324;1;100;2920;19710;NutmegTree;1.3;0.0002;Juvenile;5213;23;7;5d9f38eb-6c9e-4d3e-a172-3ce41299f919
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3195;1;100;2920;18615;NutmegTree;1.3;0.0002;Juvenile;3845;115;8;a1940aaa-8bec-48dd-a9cb-020b142855e5
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;958;0.5;100;1825;8395;PalmTree;0.6;0.0001;Juvenile;164;11;2;f11e1bc2-09ec-4e7f-8953-bf90eb4caa21
